date,user_id,netflow,stay_time(s),pv
2019-11-03,56010269,H4E1M3s,80,3
2019-10-19,56010269,OOGwNv6,97,2
2019-10-24,56010269,H4E1M3s,40,7
2019-10-29,56010269,H4E1M3s,12,1
2019-10-27,56010269,H4E1M3s,155,8
2019-11-10,56010269,H4E1M3s,21,1
2019-11-06,56010269,H4E1M3s,34,1
2019-11-05,56010269,H4E1M3s,234,9
2019-11-15,56010269,H4E1M3s,28,3
2019-10-23,56010269,OOGwNv6,2197,4
2019-10-23,56010269,H4E1M3s,21,1
2019-11-09,56010269,H4E1M3s,20,1
2019-11-04,56010269,H4E1M3s,1421,8
2019-11-07,56010269,H4E1M3s,97,3
2019-10-26,56010269,H4E1M3s,114,11
2019-11-11,56010269,H4E1M3s,603,23
2019-11-12,56010269,H4E1M3s,448,7
2019-10-25,56010269,H4E1M3s,79,7
2019-10-25,56010269,OOGwNv6,60,4
2019-10-28,56010269,H4E1M3s,64,13
